bump;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub;mechanical trail;RCy;RCz
30;;;;;;;;;;
25;;;;;;;;;;
20;;;;;;;;;;
15;;;;;;;;;;
10;;;;;;;;;;
5;;;;;;;;;;
0;;;;;;;;;;
-5;;;;;;;;;;
-10;;;;;;;;;;
-15;;;;;;;;;;
-20;;;;;;;;;;
-25;;;;;;;;;;
-30;;;;;;;;;;
