roll;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub;mechanical trail;RCy;RCz
3;;;;;;;;;;
2.5;;;;;;;;;;
2;;;;;;;;;;
1.5;;;;;;;;;;
1;;;;;;;;;;
0.5;;;;;;;;;;
0;;;;;;;;;;
-0.5;;;;;;;;;;
-1;;;;;;;;;;
-1.5;;;;;;;;;;
-2;;;;;;;;;;
-2.5;;;;;;;;;;
-3;;;;;;;;;;
